Test Report,,,,,
,,,,,
>>Start Time: 02/09/24 12:37:43       End Time: 04/04/24 15:37:43,,,,,
>>Sampling rate: 3600sec,,,,,
>>Data number: 1324,,,,,
>>Temp HIGH alarm: 40 C   Temp LOW alarm: 0 C,,,,,
>>RH HIGH alarm: 97 %RH   RH LOW alarm: 30 %RH,,,,,
>>Temp MAX: 33.4 C @03/11/24 19:37:43  Temp MIN: 24.4 C @02/09/24 12:37:43  Temp AVG: 28.27 C,,,,,
>>RH MAX: 76.8 %RH @03/25/24 17:37:43  RH MIN: 36.6 %RH @03/26/24 18:37:43  RH AVG: 59.80 %RH,,,,,
----------------------------------------------------------------------------------------------------,,,,,
NO,Temp,,RH,,TIME
443,27.9 C,,67.6 %RH,,02/27/24 22:37:43
444,26.8 C,,54.1 %RH,,02/27/24 23:37:43
445,26.2 C,,55.9 %RH,,02/28/24 00:37:43
446,26.2 C,,55.7 %RH,,02/28/24 01:37:43
447,26.1 C,,56.8 %RH,,02/28/24 02:37:43
448,26.0 C,,59.3 %RH,,02/28/24 03:37:43
449,26.0 C,,61.5 %RH,,02/28/24 04:37:43
450,26.2 C,,62.2 %RH,,02/28/24 05:37:43
451,26.6 C,,64.8 %RH,,02/28/24 06:37:43
452,26.7 C,,72.3 %RH,,02/28/24 07:37:43
453,26.4 C,,71.5 %RH,,02/28/24 08:37:43
454,26.5 C,,71.5 %RH,,02/28/24 09:37:43
455,27.1 C,,69.2 %RH,,02/28/24 10:37:43
456,27.7 C,,66.7 %RH,,02/28/24 11:37:43
457,28.2 C,,63.8 %RH,,02/28/24 12:37:43
458,28.2 C,,69.7 %RH,,02/28/24 13:37:43
459,27.7 C,,72.6 %RH,,02/28/24 14:37:43
460,28.0 C,,68.4 %RH,,02/28/24 15:37:43
461,28.4 C,,67.0 %RH,,02/28/24 16:37:43
462,28.2 C,,65.3 %RH,,02/28/24 17:37:43
463,28.1 C,,68.2 %RH,,02/28/24 18:37:43
464,27.9 C,,72.4 %RH,,02/28/24 19:37:43
465,27.7 C,,72.8 %RH,,02/28/24 20:37:43
466,27.8 C,,72.0 %RH,,02/28/24 21:37:43
467,27.5 C,,71.8 %RH,,02/28/24 22:37:43
468,27.6 C,,71.3 %RH,,02/28/24 23:37:43
469,27.4 C,,71.6 %RH,,02/29/24 00:37:43
470,27.2 C,,71.6 %RH,,02/29/24 01:37:43
471,26.8 C,,72.0 %RH,,02/29/24 02:37:43
472,26.7 C,,72.5 %RH,,02/29/24 03:37:43
473,26.6 C,,72.2 %RH,,02/29/24 04:37:43
474,26.4 C,,72.0 %RH,,02/29/24 05:37:43
475,26.3 C,,71.9 %RH,,02/29/24 06:37:43
476,26.4 C,,71.9 %RH,,02/29/24 07:37:43
477,26.5 C,,72.5 %RH,,02/29/24 08:37:43
478,26.7 C,,76.0 %RH,,02/29/24 09:37:43
479,27.0 C,,69.5 %RH,,02/29/24 10:37:43
480,27.5 C,,65.2 %RH,,02/29/24 11:37:43
481,27.9 C,,62.9 %RH,,02/29/24 12:37:43
482,28.4 C,,58.2 %RH,,02/29/24 13:37:43
483,28.8 C,,57.0 %RH,,02/29/24 14:37:43
484,29.1 C,,61.6 %RH,,02/29/24 15:37:43
485,28.9 C,,61.3 %RH,,02/29/24 16:37:43
486,28.9 C,,65.6 %RH,,02/29/24 17:37:43
487,28.9 C,,65.9 %RH,,02/29/24 18:37:43
488,28.4 C,,58.2 %RH,,02/29/24 19:37:43
489,28.0 C,,63.2 %RH,,02/29/24 20:37:43
490,27.6 C,,66.1 %RH,,02/29/24 21:37:43
491,27.4 C,,66.9 %RH,,02/29/24 22:37:43
492,27.2 C,,68.1 %RH,,02/29/24 23:37:43
493,27.2 C,,68.1 %RH,,03/01/24 0:37:43
494,27.1 C,,68.8 %RH,,03/01/24 1:37:43
495,27.0 C,,68.8 %RH,,03/01/24 2:37:43
496,27.0 C,,68.6 %RH,,03/01/24 3:37:43
497,26.7 C,,68.6 %RH,,03/01/24 4:37:43
498,26.4 C,,68.8 %RH,,03/01/24 5:37:43
499,26.4 C,,67.5 %RH,,03/01/24 6:37:43
500,26.2 C,,65.6 %RH,,03/01/24 7:37:43
501,25.9 C,,65.2 %RH,,03/01/24 8:37:43
502,26.5 C,,62.7 %RH,,03/01/24 9:37:43
503,27.2 C,,59.6 %RH,,03/01/24 10:37:43
504,27.9 C,,54.7 %RH,,03/01/24 11:37:43
505,28.2 C,,51.4 %RH,,03/01/24 12:37:43
506,28.7 C,,49.4 %RH,,03/01/24 13:37:43
507,28.8 C,,50.2 %RH,,03/01/24 14:37:43
508,29.2 C,,50.2 %RH,,03/01/24 15:37:43
509,29.2 C,,55.2 %RH,,03/01/24 16:37:43
510,29.2 C,,55.2 %RH,,03/01/24 17:37:43
511,28.7 C,,57.7 %RH,,03/01/24 18:37:43
512,28.5 C,,60.4 %RH,,03/01/24 19:37:43
513,28.4 C,,62.1 %RH,,03/01/24 20:37:43
514,28.5 C,,62.5 %RH,,03/01/24 21:37:43
515,28.5 C,,62.2 %RH,,03/01/24 22:37:43
516,28.3 C,,63.3 %RH,,03/01/24 23:37:43
517,28.3 C,,63.5 %RH,,03/02/24 0:37:43
518,28.1 C,,64.0 %RH,,03/02/24 1:37:43
519,27.9 C,,64.1 %RH,,03/02/24 2:37:43
520,27.8 C,,66.6 %RH,,03/02/24 3:37:43
521,27.4 C,,68.2 %RH,,03/02/24 4:37:43
522,27.3 C,,68.3 %RH,,03/02/24 5:37:43
523,27.3 C,,68.4 %RH,,03/02/24 6:37:43
524,27.5 C,,67.4 %RH,,03/02/24 7:37:43
525,27.2 C,,68.0 %RH,,03/02/24 8:37:43
526,27.5 C,,67.2 %RH,,03/02/24 9:37:43
527,27.8 C,,66.2 %RH,,03/02/24 10:37:43
528,27.8 C,,60.5 %RH,,03/02/24 11:37:43
529,28.3 C,,53.2 %RH,,03/02/24 12:37:43
530,28.6 C,,53.4 %RH,,03/02/24 13:37:43
531,29.3 C,,48.9 %RH,,03/02/24 14:37:43
532,29.7 C,,44.2 %RH,,03/02/24 15:37:43
533,29.8 C,,43.8 %RH,,03/02/24 16:37:43
534,29.5 C,,51.4 %RH,,03/02/24 17:37:43
535,29.1 C,,50.9 %RH,,03/02/24 18:37:43
536,28.8 C,,52.8 %RH,,03/02/24 19:37:43
537,28.3 C,,55.9 %RH,,03/02/24 20:37:43
538,28.0 C,,58.6 %RH,,03/02/24 21:37:43
539,28.0 C,,58.9 %RH,,03/02/24 22:37:43
540,27.9 C,,59.9 %RH,,03/02/24 23:37:43
541,27.6 C,,60.5 %RH,,03/03/24 0:37:43
542,27.3 C,,61.5 %RH,,03/03/24 1:37:43
543,27.0 C,,62.5 %RH,,03/03/24 2:37:43
544,26.8 C,,63.0 %RH,,03/03/24 3:37:43
545,26.9 C,,63.1 %RH,,03/03/24 4:37:43
546,26.7 C,,63.2 %RH,,03/03/24 5:37:43
547,26.7 C,,63.6 %RH,,03/03/24 6:37:43
548,26.4 C,,64.0 %RH,,03/03/24 7:37:43
549,26.5 C,,64.6 %RH,,03/03/24 8:37:43
550,26.6 C,,65.3 %RH,,03/03/24 9:37:43
551,27.0 C,,60.2 %RH,,03/03/24 10:37:43
552,28.1 C,,52.4 %RH,,03/03/24 11:37:43
553,28.5 C,,47.8 %RH,,03/03/24 12:37:43
554,29.2 C,,44.0 %RH,,03/03/24 13:37:43
555,29.1 C,,51.2 %RH,,03/03/24 14:37:43
556,29.6 C,,55.5 %RH,,03/03/24 15:37:43
557,29.4 C,,55.9 %RH,,03/03/24 16:37:43
558,29.3 C,,58.8 %RH,,03/03/24 17:37:43
559,29.4 C,,53.8 %RH,,03/03/24 18:37:43
560,28.7 C,,55.2 %RH,,03/03/24 19:37:43
561,28.4 C,,57.1 %RH,,03/03/24 20:37:43
562,28.1 C,,61.9 %RH,,03/03/24 21:37:43
563,27.9 C,,64.3 %RH,,03/03/24 22:37:43
564,28.0 C,,63.9 %RH,,03/03/24 23:37:43
565,28.5 C,,63.1 %RH,,03/04/24 0:37:43
566,28.5 C,,62.8 %RH,,03/04/24 1:37:43
567,28.1 C,,62.8 %RH,,03/04/24 2:37:43
568,28.0 C,,63.3 %RH,,03/04/24 3:37:43
569,27.9 C,,62.8 %RH,,03/04/24 4:37:43
570,27.8 C,,63.2 %RH,,03/04/24 5:37:43
571,27.4 C,,62.8 %RH,,03/04/24 6:37:43
572,27.4 C,,65.6 %RH,,03/04/24 7:37:43
573,26.8 C,,68.6 %RH,,03/04/24 8:37:43
574,26.9 C,,68.2 %RH,,03/04/24 9:37:43
575,27.0 C,,66.7 %RH,,03/04/24 10:37:43
576,27.4 C,,64.7 %RH,,03/04/24 11:37:43
577,27.9 C,,61.5 %RH,,03/04/24 12:37:43
578,28.4 C,,62.0 %RH,,03/04/24 13:37:43
579,28.3 C,,66.1 %RH,,03/04/24 14:37:43
580,28.4 C,,62.9 %RH,,03/04/24 15:37:43
581,28.4 C,,58.3 %RH,,03/04/24 16:37:43
582,28.7 C,,61.7 %RH,,03/04/24 17:37:43
583,28.6 C,,61.2 %RH,,03/04/24 18:37:43
584,28.5 C,,64.5 %RH,,03/04/24 19:37:43
585,28.5 C,,61.9 %RH,,03/04/24 20:37:43
586,28.1 C,,62.9 %RH,,03/04/24 21:37:43
587,28.2 C,,63.0 %RH,,03/04/24 22:37:43
588,28.1 C,,63.1 %RH,,03/04/24 23:37:43
589,28.1 C,,64.2 %RH,,03/05/24 0:37:43
590,28.1 C,,64.6 %RH,,03/05/24 1:37:43
591,28.0 C,,64.8 %RH,,03/05/24 2:37:43
592,28.0 C,,65.3 %RH,,03/05/24 3:37:43
593,27.8 C,,65.5 %RH,,03/05/24 4:37:43
594,27.7 C,,64.8 %RH,,03/05/24 5:37:43
595,27.5 C,,64.7 %RH,,03/05/24 6:37:43
596,27.4 C,,62.1 %RH,,03/05/24 7:37:43
597,27.0 C,,65.6 %RH,,03/05/24 8:37:43
598,27.1 C,,63.6 %RH,,03/05/24 9:37:43
599,27.3 C,,56.9 %RH,,03/05/24 10:37:43
600,28.0 C,,56.9 %RH,,03/05/24 11:37:43
601,28.2 C,,57.3 %RH,,03/05/24 12:37:43
602,28.5 C,,58.8 %RH,,03/05/24 13:37:43
603,29.0 C,,58.4 %RH,,03/05/24 14:37:43
604,29.3 C,,58.5 %RH,,03/05/24 15:37:43
605,29.5 C,,56.5 %RH,,03/05/24 16:37:43
606,29.3 C,,56.5 %RH,,03/05/24 17:37:43
607,28.9 C,,60.5 %RH,,03/05/24 18:37:43
608,28.8 C,,59.4 %RH,,03/05/24 19:37:43
609,28.8 C,,59.4 %RH,,03/05/24 20:37:43
610,28.8 C,,60.6 %RH,,03/05/24 21:37:43
611,28.3 C,,61.7 %RH,,03/05/24 22:37:43
612,27.9 C,,45.3 %RH,,03/05/24 23:37:43
613,26.7 C,,47.6 %RH,,03/06/24 0:37:43
614,26.6 C,,52.3 %RH,,03/06/24 1:37:43
615,26.3 C,,51.4 %RH,,03/06/24 2:37:43
616,26.3 C,,52.8 %RH,,03/06/24 3:37:43
617,26.3 C,,52.2 %RH,,03/06/24 4:37:43
618,26.8 C,,56.9 %RH,,03/06/24 5:37:43
619,27.2 C,,64.3 %RH,,03/06/24 6:37:43
620,27.1 C,,65.3 %RH,,03/06/24 7:37:43
621,27.0 C,,68.6 %RH,,03/06/24 8:37:43
622,28.6 C,,61.8 %RH,,03/06/24 9:37:43
623,29.3 C,,60.5 %RH,,03/06/24 10:37:43
624,29.8 C,,55.2 %RH,,03/06/24 11:37:43
625,30.1 C,,53.5 %RH,,03/06/24 12:37:43
626,30.4 C,,56.2 %RH,,03/06/24 13:37:43
627,30.7 C,,52.2 %RH,,03/06/24 14:37:43
628,30.9 C,,49.5 %RH,,03/06/24 15:37:43
629,30.4 C,,54.6 %RH,,03/06/24 16:37:43
630,30.2 C,,60.0 %RH,,03/06/24 17:37:43
631,29.8 C,,60.0 %RH,,03/06/24 18:37:43
632,29.7 C,,63.8 %RH,,03/06/24 19:37:43
633,30.2 C,,64.1 %RH,,03/06/24 20:37:43
634,30.5 C,,63.5 %RH,,03/06/24 21:37:43
635,30.6 C,,62.0 %RH,,03/06/24 22:37:43
636,30.3 C,,62.5 %RH,,03/06/24 23:37:43
637,30.2 C,,62.7 %RH,,03/07/24 0:37:43
638,28.4 C,,47.5 %RH,,03/07/24 1:37:43
639,27.7 C,,46.1 %RH,,03/07/24 2:37:43
640,27.6 C,,48.0 %RH,,03/07/24 3:37:43
641,27.6 C,,52.0 %RH,,03/07/24 4:37:43
642,28.2 C,,53.2 %RH,,03/07/24 5:37:43
643,28.7 C,,54.9 %RH,,03/07/24 6:37:43
644,28.9 C,,62.0 %RH,,03/07/24 7:37:43
645,29.3 C,,63.6 %RH,,03/07/24 8:37:43
646,29.0 C,,67.6 %RH,,03/07/24 9:37:43
647,28.9 C,,68.0 %RH,,03/07/24 10:37:43
648,29.7 C,,64.6 %RH,,03/07/24 11:37:43
649,30.5 C,,61.8 %RH,,03/07/24 12:37:43
650,30.6 C,,63.4 %RH,,03/07/24 13:37:43
651,28.9 C,,68.5 %RH,,03/07/24 14:37:43
652,29.4 C,,64.5 %RH,,03/07/24 15:37:43
653,30.2 C,,61.6 %RH,,03/07/24 16:37:43
654,29.6 C,,65.4 %RH,,03/07/24 17:37:43
655,29.4 C,,68.5 %RH,,03/07/24 18:37:43
656,29.4 C,,69.5 %RH,,03/07/24 19:37:43
657,29.6 C,,69.4 %RH,,03/07/24 20:37:43
658,29.8 C,,69.0 %RH,,03/07/24 21:37:43
659,29.9 C,,67.8 %RH,,03/07/24 22:37:43
660,29.7 C,,68.6 %RH,,03/07/24 23:37:43
661,28.7 C,,49.1 %RH,,03/08/24 0:37:43
662,28.3 C,,51.2 %RH,,03/08/24 1:37:43
663,28.0 C,,50.4 %RH,,03/08/24 2:37:43
664,28.0 C,,53.2 %RH,,03/08/24 3:37:43
665,27.8 C,,52.9 %RH,,03/08/24 4:37:43
666,28.4 C,,56.0 %RH,,03/08/24 5:37:43
667,28.5 C,,58.4 %RH,,03/08/24 6:37:43
668,28.9 C,,63.2 %RH,,03/08/24 7:37:43
669,28.8 C,,65.3 %RH,,03/08/24 8:37:43
670,28.8 C,,72.4 %RH,,03/08/24 9:37:43
671,29.4 C,,68.2 %RH,,03/08/24 10:37:43
672,29.6 C,,66.7 %RH,,03/08/24 11:37:43
673,30.2 C,,64.6 %RH,,03/08/24 12:37:43
674,30.5 C,,56.3 %RH,,03/08/24 13:37:43
675,30.8 C,,58.5 %RH,,03/08/24 14:37:43
676,31.1 C,,57.5 %RH,,03/08/24 15:37:43
677,31.2 C,,56.1 %RH,,03/08/24 16:37:43
678,31.1 C,,60.7 %RH,,03/08/24 17:37:43
679,30.6 C,,62.6 %RH,,03/08/24 18:37:43
680,30.3 C,,64.6 %RH,,03/08/24 19:37:43
681,30.6 C,,65.0 %RH,,03/08/24 20:37:43
682,30.9 C,,66.1 %RH,,03/08/24 21:37:43
683,30.8 C,,64.6 %RH,,03/08/24 22:37:43
684,29.9 C,,49.3 %RH,,03/08/24 23:37:43
685,28.5 C,,48.5 %RH,,03/09/24 0:37:43
686,28.0 C,,47.0 %RH,,03/09/24 1:37:43
687,27.8 C,,49.9 %RH,,03/09/24 2:37:43
688,27.4 C,,46.5 %RH,,03/09/24 3:37:43
689,27.3 C,,47.5 %RH,,03/09/24 4:37:43
690,28.3 C,,53.1 %RH,,03/09/24 5:37:43
691,28.8 C,,56.3 %RH,,03/09/24 6:37:43
692,28.7 C,,60.0 %RH,,03/09/24 7:37:43
693,29.0 C,,62.9 %RH,,03/09/24 8:37:43
694,29.0 C,,64.3 %RH,,03/09/24 9:37:43
695,29.4 C,,61.7 %RH,,03/09/24 10:37:43
696,29.8 C,,57.7 %RH,,03/09/24 11:37:43
697,29.9 C,,58.5 %RH,,03/09/24 12:37:43
698,31.1 C,,56.6 %RH,,03/09/24 13:37:43
699,31.5 C,,53.8 %RH,,03/09/24 14:37:43
700,31.8 C,,54.0 %RH,,03/09/24 15:37:43
701,31.8 C,,54.4 %RH,,03/09/24 16:37:43
702,31.6 C,,59.1 %RH,,03/09/24 17:37:43
703,31.2 C,,64.9 %RH,,03/09/24 18:37:43
704,30.9 C,,66.0 %RH,,03/09/24 19:37:43
705,30.9 C,,66.0 %RH,,03/09/24 20:37:43
706,30.8 C,,65.2 %RH,,03/09/24 21:37:43
707,30.8 C,,64.8 %RH,,03/09/24 22:37:43
708,30.7 C,,63.5 %RH,,03/09/24 23:37:43
709,30.7 C,,63.6 %RH,,03/10/24 0:37:43
710,30.5 C,,63.4 %RH,,03/10/24 1:37:43
711,28.5 C,,46.5 %RH,,03/10/24 2:37:43
712,27.9 C,,45.9 %RH,,03/10/24 3:37:43
713,27.8 C,,48.9 %RH,,03/10/24 4:37:43
714,28.7 C,,53.2 %RH,,03/10/24 5:37:43
715,28.7 C,,58.4 %RH,,03/10/24 6:37:43
716,28.8 C,,61.2 %RH,,03/10/24 7:37:43
717,28.9 C,,62.2 %RH,,03/10/24 8:37:43
718,29.1 C,,63.6 %RH,,03/10/24 9:37:43
719,29.4 C,,64.2 %RH,,03/10/24 10:37:43
720,29.8 C,,62.3 %RH,,03/10/24 11:37:43
721,30.4 C,,60.4 %RH,,03/10/24 12:37:43
722,30.8 C,,57.7 %RH,,03/10/24 13:37:43
723,31.2 C,,57.4 %RH,,03/10/24 14:37:43
724,31.1 C,,60.8 %RH,,03/10/24 15:37:43
725,32.4 C,,59.2 %RH,,03/10/24 16:37:43
726,32.5 C,,59.0 %RH,,03/10/24 17:37:43
727,32.3 C,,58.5 %RH,,03/10/24 18:37:43
728,32.1 C,,59.9 %RH,,03/10/24 19:37:43
729,32.1 C,,61.7 %RH,,03/10/24 20:37:43
730,32.2 C,,60.5 %RH,,03/10/24 21:37:43
731,32.1 C,,59.6 %RH,,03/10/24 22:37:43
732,32.4 C,,58.8 %RH,,03/10/24 23:37:43
733,30.2 C,,39.8 %RH,,03/11/24 0:37:43
734,29.3 C,,42.0 %RH,,03/11/24 1:37:43
735,29.0 C,,42.1 %RH,,03/11/24 2:37:43
736,28.8 C,,42.8 %RH,,03/11/24 3:37:43
737,29.1 C,,44.7 %RH,,03/11/24 4:37:43
738,29.6 C,,49.5 %RH,,03/11/24 5:37:43
739,30.3 C,,58.4 %RH,,03/11/24 6:37:43
740,30.6 C,,61.7 %RH,,03/11/24 7:37:43
741,31.6 C,,59.7 %RH,,03/11/24 8:37:43
742,31.8 C,,59.3 %RH,,03/11/24 9:37:43
743,30.1 C,,66.1 %RH,,03/11/24 10:37:43
744,30.6 C,,63.9 %RH,,03/11/24 11:37:43
745,32.1 C,,56.2 %RH,,03/11/24 12:37:43
746,31.7 C,,56.6 %RH,,03/11/24 13:37:43
747,32.1 C,,57.5 %RH,,03/11/24 14:37:43
748,32.0 C,,56.0 %RH,,03/11/24 15:37:43
749,32.1 C,,56.6 %RH,,03/11/24 16:37:43
750,32.0 C,,58.2 %RH,,03/11/24 17:37:43
751,32.3 C,,58.9 %RH,,03/11/24 18:37:43
752,33.4 C,,57.6 %RH,,03/11/24 19:37:43
753,32.8 C,,58.5 %RH,,03/11/24 20:37:43
754,31.9 C,,60.1 %RH,,03/11/24 21:37:43
755,31.4 C,,62.2 %RH,,03/11/24 22:37:43
756,31.4 C,,61.5 %RH,,03/11/24 23:37:43
757,30.3 C,,48.0 %RH,,03/12/24 0:37:43
758,29.6 C,,41.6 %RH,,03/12/24 1:37:43
759,29.1 C,,42.3 %RH,,03/12/24 2:37:43
760,28.7 C,,43.3 %RH,,03/12/24 3:37:43
761,28.8 C,,45.4 %RH,,03/12/24 4:37:43
762,29.9 C,,49.6 %RH,,03/12/24 5:37:43
763,30.4 C,,57.8 %RH,,03/12/24 6:37:43
764,30.3 C,,59.4 %RH,,03/12/24 7:37:43
765,29.5 C,,64.9 %RH,,03/12/24 8:37:43
766,29.7 C,,62.5 %RH,,03/12/24 9:37:43
767,30.2 C,,60.1 %RH,,03/12/24 10:37:43
768,30.3 C,,59.3 %RH,,03/12/24 11:37:43
769,30.6 C,,57.9 %RH,,03/12/24 12:37:43
770,31.1 C,,54.1 %RH,,03/12/24 13:37:43
771,31.4 C,,54.5 %RH,,03/12/24 14:37:43
772,31.2 C,,54.6 %RH,,03/12/24 15:37:43
773,31.8 C,,54.2 %RH,,03/12/24 16:37:43
774,31.9 C,,55.1 %RH,,03/12/24 17:37:43
775,31.4 C,,54.9 %RH,,03/12/24 18:37:43
776,31.5 C,,56.6 %RH,,03/12/24 19:37:43
777,31.3 C,,57.5 %RH,,03/12/24 20:37:43
778,31.0 C,,54.4 %RH,,03/12/24 21:37:43
779,30.8 C,,54.2 %RH,,03/12/24 22:37:43
780,30.5 C,,53.7 %RH,,03/12/24 23:37:43
781,29.8 C,,40.4 %RH,,03/13/24 00:37:43
782,28.5 C,,42.5 %RH,,03/13/24 01:37:43
783,28.4 C,,45.2 %RH,,03/13/24 02:37:43
784,28.2 C,,44.6 %RH,,03/13/24 03:37:43
785,28.4 C,,45.3 %RH,,03/13/24 04:37:43
786,28.7 C,,49.9 %RH,,03/13/24 05:37:43
787,29.2 C,,52.0 %RH,,03/13/24 06:37:43
788,29.2 C,,57.3 %RH,,03/13/24 07:37:43
789,28.0 C,,63.8 %RH,,03/13/24 08:37:43
790,29.3 C,,58.5 %RH,,03/13/24 09:37:43
791,29.7 C,,53.3 %RH,,03/13/24 10:37:43
792,30.4 C,,51.0 %RH,,03/13/24 11:37:43
793,31.0 C,,47.4 %RH,,03/13/24 12:37:43
794,30.8 C,,53.3 %RH,,03/13/24 13:37:43
795,30.9 C,,53.8 %RH,,03/13/24 14:37:43
796,31.4 C,,53.3 %RH,,03/13/24 15:37:43
797,31.2 C,,54.2 %RH,,03/13/24 16:37:43
798,31.1 C,,55.6 %RH,,03/13/24 17:37:43
799,30.6 C,,56.5 %RH,,03/13/24 18:37:43
800,30.5 C,,56.3 %RH,,03/13/24 19:37:43
801,30.6 C,,58.7 %RH,,03/13/24 20:37:43
802,30.9 C,,57.1 %RH,,03/13/24 21:37:43
803,30.7 C,,57.5 %RH,,03/13/24 22:37:43
804,30.5 C,,57.7 %RH,,03/13/24 23:37:43
805,30.5 C,,57.1 %RH,,03/14/24 00:37:43
806,28.6 C,,43.2 %RH,,03/14/24 01:37:43
807,28.2 C,,45.7 %RH,,03/14/24 02:37:43
808,28.2 C,,46.4 %RH,,03/14/24 03:37:43
809,28.0 C,,46.8 %RH,,03/14/24 04:37:43
810,28.7 C,,50.9 %RH,,03/14/24 05:37:43
811,28.9 C,,54.4 %RH,,03/14/24 06:37:43
812,29.0 C,,57.2 %RH,,03/14/24 07:37:43
813,28.0 C,,64.3 %RH,,03/14/24 08:37:43
814,29.2 C,,59.6 %RH,,03/14/24 09:37:43
815,29.8 C,,56.6 %RH,,03/14/24 10:37:43
816,30.8 C,,54.0 %RH,,03/14/24 11:37:43
817,31.1 C,,51.2 %RH,,03/14/24 12:37:43
818,31.5 C,,48.0 %RH,,03/14/24 13:37:43
819,32.1 C,,44.8 %RH,,03/14/24 14:37:43
820,32.1 C,,54.0 %RH,,03/14/24 15:37:43
821,31.7 C,,60.0 %RH,,03/14/24 16:37:43
822,31.7 C,,57.9 %RH,,03/14/24 17:37:43
823,31.6 C,,56.2 %RH,,03/14/24 18:37:43
824,31.4 C,,61.0 %RH,,03/14/24 19:37:43
825,31.0 C,,57.4 %RH,,03/14/24 20:37:43
826,30.5 C,,57.0 %RH,,03/14/24 21:37:43
827,30.4 C,,58.5 %RH,,03/14/24 22:37:43
828,30.3 C,,61.2 %RH,,03/14/24 23:37:43
829,30.7 C,,61.1 %RH,,03/15/24 00:37:43
830,30.1 C,,41.4 %RH,,03/15/24 01:37:43
831,28.6 C,,46.0 %RH,,03/15/24 02:37:43
832,28.0 C,,44.8 %RH,,03/15/24 03:37:43
833,27.9 C,,45.7 %RH,,03/15/24 04:37:43
834,28.7 C,,52.9 %RH,,03/15/24 05:37:43
835,29.1 C,,59.4 %RH,,03/15/24 06:37:43
836,29.2 C,,62.8 %RH,,03/15/24 07:37:43
837,29.2 C,,65.2 %RH,,03/15/24 08:37:43
838,28.5 C,,66.4 %RH,,03/15/24 09:37:43
839,30.1 C,,60.2 %RH,,03/15/24 10:37:43
840,30.6 C,,56.9 %RH,,03/15/24 11:37:43
841,30.0 C,,57.7 %RH,,03/15/24 12:37:43
842,29.9 C,,62.1 %RH,,03/15/24 13:37:43
843,30.4 C,,61.0 %RH,,03/15/24 14:37:43
844,30.4 C,,59.3 %RH,,03/15/24 15:37:43
845,31.0 C,,54.8 %RH,,03/15/24 16:37:43
846,31.2 C,,59.6 %RH,,03/15/24 17:37:43
847,31.0 C,,58.0 %RH,,03/15/24 18:37:43
848,30.4 C,,55.6 %RH,,03/15/24 19:37:43
849,30.0 C,,58.3 %RH,,03/15/24 20:37:43
850,30.4 C,,58.2 %RH,,03/15/24 21:37:43
851,30.7 C,,56.6 %RH,,03/15/24 22:37:43
852,30.7 C,,57.2 %RH,,03/15/24 23:37:43
853,30.3 C,,50.0 %RH,,03/16/24 00:37:43
854,30.6 C,,53.1 %RH,,03/16/24 01:37:43
855,30.6 C,,55.9 %RH,,03/16/24 02:37:43
856,30.0 C,,44.9 %RH,,03/16/24 03:37:43
857,28.4 C,,45.2 %RH,,03/16/24 04:37:43
858,29.1 C,,52.4 %RH,,03/16/24 05:37:43
859,29.2 C,,61.1 %RH,,03/16/24 06:37:43
860,28.9 C,,63.9 %RH,,03/16/24 07:37:43
861,28.9 C,,64.4 %RH,,03/16/24 08:37:43
862,29.4 C,,63.4 %RH,,03/16/24 09:37:43
863,30.2 C,,61.2 %RH,,03/16/24 10:37:43
864,30.6 C,,60.3 %RH,,03/16/24 11:37:43
865,30.8 C,,60.4 %RH,,03/16/24 12:37:43
866,30.9 C,,63.0 %RH,,03/16/24 13:37:43
867,30.5 C,,57.3 %RH,,03/16/24 14:37:43
868,30.5 C,,56.5 %RH,,03/16/24 15:37:43
869,31.5 C,,55.5 %RH,,03/16/24 16:37:43
870,31.4 C,,59.7 %RH,,03/16/24 17:37:43
871,31.1 C,,61.3 %RH,,03/16/24 18:37:43
872,30.9 C,,63.5 %RH,,03/16/24 19:37:43
873,30.9 C,,63.5 %RH,,03/16/24 20:37:43
874,30.3 C,,65.4 %RH,,03/16/24 21:37:43
875,30.1 C,,66.2 %RH,,03/16/24 22:37:43
876,30.2 C,,64.9 %RH,,03/16/24 23:37:43
877,29.6 C,,44.2 %RH,,03/17/24 00:37:43
878,28.1 C,,46.3 %RH,,03/17/24 01:37:43
879,27.5 C,,45.9 %RH,,03/17/24 02:37:43
880,27.5 C,,49.9 %RH,,03/17/24 03:37:43
881,27.3 C,,50.9 %RH,,03/17/24 04:37:43
882,28.6 C,,53.6 %RH,,03/17/24 05:37:43
883,28.7 C,,57.1 %RH,,03/17/24 06:37:43
884,28.7 C,,61.0 %RH,,03/17/24 07:37:43
885,28.9 C,,63.4 %RH,,03/17/24 08:37:43
886,29.2 C,,62.8 %RH,,03/17/24 09:37:43
887,29.7 C,,61.9 %RH,,03/17/24 10:37:43
888,29.8 C,,61.7 %RH,,03/17/24 11:37:43
889,30.3 C,,54.9 %RH,,03/17/24 12:37:43
890,30.9 C,,50.4 %RH,,03/17/24 13:37:43
891,31.1 C,,47.8 %RH,,03/17/24 14:37:43
892,31.3 C,,53.1 %RH,,03/17/24 15:37:43
893,31.5 C,,53.8 %RH,,03/17/24 16:37:43
894,31.6 C,,57.0 %RH,,03/17/24 17:37:43
895,31.6 C,,57.5 %RH,,03/17/24 18:37:43
896,30.8 C,,62.9 %RH,,03/17/24 19:37:43
